Broker,Size, Missing
TD_Ameritrade, 9161017,0
AXA, 9999999,1
Boenning Scattergood, 262115,0
COR Clearing, 9,1
DA Davidson, 1130507, 0
Deutsche, 20450085061, 0
Edward Jones, 354210, 0
Euro Pacific Capital, 10000, 0
Financorp Group, 9, 1
Florida Atlantic 9, 1
LPL, 112766, 0
Cowen Execution, 50187099, 0
Aurora Capital, 9050, 0
Corporate Investment Group, 2000, 0
E1 Asset Mgmt, 99, 1
Elish Elish, 99, 1
Barclays Capital, 23958268691, 0
Credit Suisse, 32667205103, 0
Securities America, 999, 1
Bull Market Securities, 999, 1
Fifth Third, 466400, 0
