Symbol,Exchange
USBpM,Other
CX,NYSE
MLPG,Other
TDY,NYSE
CGC,Other
MHNB*,Other
IPXL,NASDAQ
KBLMW,NASDAQ
YSI,Other
RBPAA,NASDAQ
GBTS,Other
CLW,NYSE
LDN,Other
HBOS,Other
BF.B,NYSE
GBSNU,Other
STDY,NASDAQ
PIY,NYSE
IEUR,Other
MYJ,NYSE
LINU,NASDAQ
HPAC,Other
TRTX,NYSE
BDN,NYSE
TFM,Other
KSA L,Other
FSAM,Other
UTEK,Other
PIP,Other
SBA,Other
LRET,Other
IBDQ,Other
AKAO,NASDAQ
MUR WI,Other
MHK,NYSE
ACIA,NASDAQ
SMDD,Other
PEO,NYSE
PMT-B,Other
ESGR,NASDAQ
TWER,Other
FTEK,NASDAQ
IIH,Other
GE,NYSE
CTIC,NASDAQ
SUNW,NASDAQ
GRSH,Other
DSXpB,Other
MPACW,NASDAQ
FCE A,Other
YBTVA,Other
GLD,Other
PCG D,Other
ARE C,Other
AFSI-D,Other
AXAS,NASDAQ
TTGT,NASDAQ
FRTpC,Other
VBF,NYSE
XCJ L,Other
MSD,NYSE
PNTA,Other
BWZ,Other
COSI,Other
ROSE,NASDAQ
BARE,Other
BCOV,NASDAQ
LEH F,Other
GEE,Other
FNV,NYSE
BIRT,Other
TZK,Other
IHT,Other
UBD,Other
PJE L,Other
SUF,Other
GGO-A,Other
WPK,Other
AXSL,Other
DRV,Other
MNRKP,Other
NDLS,NASDAQ
LQDH,Other
CEG A,Other
ILMN,NASDAQ
TUSK,NASDAQ
NRF-C,Other
CVY,Other
STAG A,Other
LABL,NASDAQ
DUCK,Other
IGHG,Other
ULTA,NASDAQ
SAUC,NASDAQ
GAC U,Other
DS-B,Other
NCT-D,Other
INC,Other
LAD,NYSE
RZA,NYSE
GMTC,Other
FXS,Other
WGNR,Other
TWQ,Other
HAYN,NASDAQ
TDA,NYSE
GMR,Other
VM,Other
PCYO,NASDAQ
ACG,Other
GAT,Other
GMTB,Other
WWVY,Other
NNDS,Other
SPXV,Other
DSCO,Other
TYG-B*,Other
MSP,NYSE
SSY,Other
GXP-B*,Other
EEMO,Other
RLY,Other
TEF,NYSE
ICAN,Other
FRC-B*,Other
KKR-A,Other
FNJN,NASDAQ
SSW-G,Other
CGNX,NASDAQ
SCE-J,Other
PCP,Other
FDS,NYSE
DSKY,Other
FRE V,Other
STF,Other
NOVN,NASDAQ
FCSC,NASDAQ
WSI,Other
CHSI,Other
VALE,NYSE
IPHS,NASDAQ
MGJ,Other
ALTL,Other
SIM,Other
PSA-E,Other
MARA,NASDAQ
CUTR,NASDAQ
SB B,Other
SD,NYSE
IPOA WS,Other
ACTS,Other
CLNS I,Other
TRLA,Other
RVEP,Other
BIV,Other
LEDD,Other
ACUR,Other
CYS-B,Other
TRSY,Other
PLD G,Other
HMTV,NASDAQ
SKE,Other
SNN,NYSE
NSPR/WS,Other
PEB-C,Other
LM,NYSE
GRX-B,Other
VKTXW,NASDAQ
ZB F,Other
RVI,Other
GBF,Other
JZE L,Other
CHIE,Other
BAC-D,Other
CVGW,NASDAQ
BLDRR,Other
HYB,NYSE
RYI,NYSE
SCHH,Other
NEWN,Other
SMACU,Other
DTJ,NYSE
NQI,Other
ZFC,Other
SPF RT,Other
ITML,Other
BXP-B,Other
FORM,NASDAQ
CORR,NYSE
HITK,Other
BSJG,Other
SOA WS,Other
PREpI,Other
JBI,Other
INDUU,NASDAQ
WBS+,Other
TPUB,Other
VCYT,NASDAQ
HTBI,NASDAQ
IVN,Other
ESV,NYSE
NLNK,NASDAQ
MDTL,Other
KF,NYSE
SXE,NYSE
SIMC,Other
RTRX,NASDAQ
CFFND,Other
TOF,Other
HFB,Other
NTRS,NASDAQ
ACCL,Other
RADS,Other
LRE,Other
BSCE,Other
CYTR,NASDAQ
IPDN,NASDAQ
SPE C,Other
MAJC,Other
LPCN,NASDAQ
BKMU,NASDAQ
HRAY,Other
BCS D,Other
MNR-B*,Other
WOLF,Other
NFEC,NASDAQ
IMKTA,NASDAQ
ATRM,Other
LTXC,Other
LMCA,Other
KAD,Other
GLPW,Other
MDYV,Other
ABVT,Other
FXCBD,Other
MULE,NYSE
CDR-B,Other
IKNX,NASDAQ
TENX,NASDAQ
WAVED,Other
CSWI,NASDAQ
TNP C,Other
LABC,Other
MLVFD,Other
ZIF,Other
LDIS,Other
LNET,Other
RF Z,Other
SEL,Other
DOVR,Other
CTIB,NASDAQ
HIG A,Other
IMRS,Other
STXX,Other
GRSHW,Other
PSA B,Other
HESM,NYSE
KLRE,Other
KTX,Other
NNNpE,Other
ZB G,Other
GFNCU,Other
CFA,NASDAQ
EGK,Other
FIEG,Other
NRMX,Other
TBPHV,Other
MLPC,Other
SCHD,Other
NLX,Other
SINA,NASDAQ
TBF,Other
FMS,NYSE
NYMTP,NASDAQ
SNV,NYSE
KMM,NYSE
IIA,Other
BAC-Y,Other
CTS,NYSE
CVM,Other
HTF,Other
LSKY,Other
AGGY,Other
SCHW B,Other
MYND,NASDAQ
VVV,NYSE
TWOZ,Other
PXN,Other
CLNSpG,Other
FXCM,Other
HGEU,Other
TIBB,Other
NAV,NYSE
COBK,Other
FARO,NASDAQ
VCRA,NYSE
EBS,NYSE
BASI,NASDAQ
ELT,Other
HA,NASDAQ
NEV,NYSE
TNS,Other
QTEC,NASDAQ
SATC,Other
ARE-D,Other
NCR,NYSE
HCNpI,Other
CY,NASDAQ
EFM L,Other
CFCB,Other
NCST,Other
KRJ,Other
TNPpE,Other
PVR,Other
GBAB,NYSE
SBIO,Other
BWR,Other
RWLK,NASDAQ
OAPH,Other
PRD,Other
GM B,Other
RVBD,Other
GMST,Other
EPEXP,Other
PSA-Q*,Other
SCHW-C,Other
JDAS,Other
ARES A,Other
FDP,NYSE
AXS C,Other
TKF,NYSE
IOTS,NASDAQ
WLSN,Other
DAR,NYSE
SPEXD,Other
BPK,NYSE
KLAC,NASDAQ
ENS,NYSE
WU,NYSE
DLR G,Other
CWLZ,Other
STARpF,Other
CACG,NASDAQ
NDN,Other
PLpE,Other
TCI,NYSE
PSA O,Other
GNL A,Other
EUSA,Other
MNDL,Other
DTF,NYSE
YGRO,Other
KMI,NYSE
TCO J,Other
KERX,NASDAQ
REEDR,Other
NINI,Other
IQDY,Other
PLYM,Other
BRACR,NASDAQ
HRG,NYSE
LIMC,Other
NSTK,Other
BAC L,Other
RGLD,NASDAQ
IWR,Other
ENH-A*,Other
HUSI-G*,Other
EDCI,Other
TCMD,NASDAQ
ICLDW,Other
MTXX,Other
PID,NASDAQ
AGLE,NASDAQ
HTX,Other
TMUS A,Other
GRFS,NASDAQ
VVUS,NASDAQ
CTRL,NASDAQ
IJNK,Other
CFRXW,Other
FMBI,NASDAQ
VLY WS,Other
ARH A,Other
MSK*,Other
CARA,NASDAQ
CZJ,Other
APA,NYSE
ANDAU,NASDAQ
SHI,NYSE
PHC,Other
KKRpA,Other
MNRK,Other
ANDA,NASDAQ
BPAX,Other
AGA,Other
MUSA,NYSE
IZEA,NASDAQ
ESGE,NASDAQ
VOD,NASDAQ
WRK WI,Other
BME,NYSE
TECS,Other
MCQ L,Other
DEP,Other
FU,Other
HTWO,Other
CSUND,Other
EBMTD,Other
SAVE,NASDAQ
TWLL,Other
USAC,NYSE
MLB,Other
BKYF,Other
HAWK,NASDAQ
PE B,Other
SAFM,NASDAQ
SHLDV,Other
VHC,Other
SBpB,Other
GSL U,Other
RUTH,NASDAQ
CLZR,Other
VIP WI,Other
JPW,Other
RCG,Other
IP WI,Other
FXEP,Other
GNRT,NYSE
DIRT,Other
MITL,NASDAQ
PUTX,Other
SBSI,NASDAQ
PSApA,Other
DOIL,Other
POST WI,Other
MNRTA,Other
JPME,Other
LMFAW,NASDAQ
CRGI,Other
GPM,NYSE
BBI B,Other
BNDC,Other
AXS-E,Other
CZNC,NASDAQ
BKHU,NYSE
CCU,NYSE
TRU,NYSE
FCOR,Other
PRTO,NASDAQ
IQDE,Other
TTT,Other
VRTS,NASDAQ
BHAC,NASDAQ
NBS WS,Other
LMHA,NYSE
TRI,NYSE
PNNW,Other
PTN,Other
PJE,Other
PERF,Other
BHV,Other
VRAY,NASDAQ
ELI,Other
PAHC,NASDAQ
VIIX,NASDAQ
PCX,Other
STAG-A,Other
HIFR,NYSE
HTRB,Other
LAB,Other
KTOS,NASDAQ
VBND,NASDAQ
AFOP,Other
FNM L,Other
FSNN,NASDAQ
PHX,NYSE
CUZ WI,Other
SCSS,Other
TAOM,Other
ITMS,Other
LIOX,Other
CCI A,Other
ACI,Other
NWpC,Other
CIC/U,Other
EWK,Other
HCT,Other
VNOD,Other
ANTM,NYSE
GED,Other
ARC,NYSE
GAB-G,Other
VPRT,Other
HSWID,Other
AGN-A,Other
FWT,Other
SFA,Other
FO,Other
AHTpF,Other
ESC,Other
BRL,Other
HEGE,Other
AFFX,Other
FSI,Other
BDXA,NYSE
MNST,NASDAQ
DJSP,Other
SUNH,Other
BAA,Other
GS-I,Other
PFLT,NASDAQ
XSHQ,Other
TPVG,NYSE
DNKN,NASDAQ
CBKN,Other
GRIL,Other
MGEE,NASDAQ
MTLKD,Other
SMPL,NASDAQ
JCDAD,Other
SEM,NYSE
ALDW,NYSE
UNAM,NASDAQ
SEPR,Other
TEVA,NYSE
TCFpB,Other
SMC,Other
IND,Other
DEFA,Other
AFR,Other
CEA,NYSE
UIVM,Other
CIBR,NASDAQ
FCPT,NYSE
TG,NYSE
MWL,Other
PRWT,Other
CXP,NYSE
PES,NYSE
MOVED,Other
CYPB,Other
ALKS,NASDAQ
LXPpC,Other
BJ,Other
ITL,Other
KOPN,NASDAQ
NETE,NASDAQ
BACpY,Other
AXTE,Other
VRNG U,Other
MIC,NYSE
WAYN,Other
NMTI,Other
AKER,NASDAQ
DSM,NYSE
CMCSK,Other
TIS,Other
CMRE B,Other
CORE,NASDAQ
BNCL,NASDAQ
REDF,Other
LNT,NYSE
ADKpA,Other
AVL,Other
TTAC,Other
TLRD,NYSE
HT E,Other
HCM,NASDAQ
PNH L,Other
BAX WI,Other
QDEM,Other
ILC,Other
WWON,Other
KALA,NASDAQ
CR,NYSE
BWXT,NYSE
NGVT WI,Other
NPC,Other
PSB S,Other
ADP,NASDAQ
TGD,Other
RACE,NYSE
KKRpB,Other
BHP,NYSE
MDC,NYSE
IMUC WS,Other
VPFGD,Other
PYH,Other
XFJ L,Other
DOW,Other
SJO,Other
BZH,NYSE
STL-A,Other
FLTX,Other
DPG,NYSE
WTR,NYSE
MBS,Other
ALO,Other
IBTX,NASDAQ
GFC U,Other
ARE D,Other
PSTL,Other
HCHC,NYSE
PFIE,NASDAQ
SCTR,Other
DESP,NYSE
CRA,Other
RYpS,Other
CLNY B,Other
DTZ*,Other
IEF,NASDAQ
GLTR,Other
HRSH,Other
FXCB,Other
ECTE,Other
KSW,Other
EOSPN,Other
BOLT,Other
FYLD,Other
BEBE,NASDAQ
FES,Other
SILJ,Other
EWN,Other
LXFT,NYSE
FMAO,NASDAQ
FAS,Other
SGBX,NASDAQ
ARU*,Other
DISAD,Other
GPT-A,Other
SNDA,Other
AQXP,NASDAQ
MFIN,NASDAQ
HEGJ,Other
KRC F,Other
QED,Other
HQCL,NASDAQ
SNO,Other
NRF,Other
DCP,NYSE
ADAP,NASDAQ
FSS,NYSE
CAG#,Other
PGNX,NASDAQ
VXX,Other
XBKS,NASDAQ
NCQ,Other
TEU,Other
TCCO,NASDAQ
RHY,Other
CAPA,Other
RISK,Other
JHI,NYSE
EVHC PR,Other
UBPpF,Other
INUV,Other
TOT,NYSE
CMN,Other
RDC,NYSE
CLACU,Other
EXXID,Other
SPSX,Other
AHL,NYSE
TAYCP,Other
BKW,Other
CSV,NYSE
MCRI,NASDAQ
SCOR,Other
ECOM,Other
WFC Y,Other
MET B,Other
RDWR,NASDAQ
RQI,NYSE
GPE A,Other
VIAVV,Other
FEYE,NASDAQ
RNF,Other
UFS,NYSE
ENSI,Other
WSF,Other
ADRE,NASDAQ
OSBC,NASDAQ
BPY,NASDAQ
DCS,Other
BIP,NYSE
NNC E,Other
TGTX,NASDAQ
ZEP,Other
EQM,NYSE
RMBL,NASDAQ
FOC,Other
UNTDV,Other
IOMI,Other
SUNE,Other
NYCB-U,Other
XL,NYSE
SSW-C,Other
MER L,Other
XFN,Other
VXUP,Other
BZM,Other
OIS WI,Other
OCAT,Other
GV,Other
CYRN,NASDAQ
GGEM,Other
SOJB,NYSE
TRTN,NYSE
GRT H,Other
CLIRW,NASDAQ
FAUS,Other
PSB-R,Other
SHMO,Other
ATX,Other
