MarketCenter,Quarter,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType,PrImp_ExpAmt,All_AvgT,MktCtrAvg_PrImp_Pct,Rel_PrImp_Pct,MktCtrAvg_PrImp_AvgT,Rel_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,Rel_PrImp_ExpAmt,MktCtrAvg_All_AvgT,Rel_All_AvgT
BNYC,2015Q1,NASDAQ,11,213581,43704397,70249,43628268,0,43526470,92540,7485,1773,0,0.01927514185069184,0.023773723297931523,40953679.0,0.0060779911201628576,0.19763402452805298,1679347.0,0.586190048870186,995242.0,25.235099999999996,1.4215880157790766,43628268,8093840.400000008,248916.09730000008,984416.5000000002,1414824.0999999996,840941.0543999996,1037206.3714000003,0.9386959619850139,0.03849217667774481,0.02281186133724126,Market,0.005705385721477646,0.2405110603978138,0.8770853693237933,0.0616105926612206,0.08256116815727825,0.11507285637077473,0.011198484958282361,-0.005493099236804715,0.10554951162066092,0.13496154877715288
BNYC,2015Q1,NASDAQ,12,37042,7770176,4851,7750829,0,7713717,19629,6873,5710,3237,0.030849942825470697,0.034385883342285074,6796140.0,0.0006734046679438616,0.3292600358438762,796648.0,15.6227130426487,158041.0,7.631500000000001,9.821650078144279,7750829,2237697.3000000007,4576.552399999996,12445803.100000001,1552223.4,239112.63150000022,266519.10180000006,0.8768274980650457,0.1027822959324738,0.02039020600248051,Limit,0.000590459730178539,2.094708037037071,0.6613439695337225,0.21548352853132313,0.18814257065505252,0.14111746518882368,0.00510759334387346,-0.004517133613694921,1.5660536210546072,0.5286544159824638
BNYC,2015Q1,NASDAQ,13,12616,2573500,501881,1976798,0,1048397,242646,159875,295551,166169,0.030279346599905523,0.0,0.0,,,0.0,,0.0,0.0,,1976798,0.0,0.0,0.0,0.0,59856.151800000036,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q1,NASDAQ,14,11996,2589515,641176,1838962,0,504154,328908,207782,434331,265749,0.011731255675756216,0.0,0.0,,,0.0,,0.0,0.0,,1838962,0.0,0.0,0.0,0.0,21573.333400000003,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q1,NASDAQ,15,36132,7574355,2619472,4075705,0,404016,505660,426592,1135485,996437,0.01770244100100473,0.0,0.0,,,0.0,,0.0,0.0,,4075705,0.0,0.0,0.0,0.0,72149.92729999998,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q1,NYSE,11,396811,81015802,108105,80902077,0,80833088,59791,6902,2296,0,0.009666910261154352,0.013256767076573334,76975499.0,0.004884009097492177,0.14289074111750802,1914843.0,0.528379454608028,2011735.0,22.514999999999972,0.8266675282778299,80902077,10999086.099999998,375949.0374,1011763.7000000002,1663036.0,782073.1182999995,1072499.9908000007,0.9514650532396096,0.02366865068247877,0.024866296077911573,Market,0.0046469639759681314,0.16901773485988494,0.8955106064460242,0.05595444679358541,0.07284134850471778,0.07004939261279024,0.00694938293200581,-0.0023024189560376784,0.0942007552268552,0.07481697963302975
BNYC,2015Q1,NYSE,12,45238,9529134,5233,9506679,0,9478187,13717,4147,7453,2100,0.01952713701598636,0.02163342021961614,8506985.0,0.0003499833489773396,0.10581187106830443,887904.0,4.632459928100336,111790.0,6.290400000000002,39.41475445030862,9506679,900139.9999999998,2977.3030999999933,4113179.7000000007,4406175.4,185638.22340000022,205661.98170000018,0.894842983548724,0.09339791529723471,0.011759101154041279,Limit,0.00031318014419125684,0.9908291949270615,0.6539925261190169,0.24085045742970712,0.08970734184895618,0.016104529219348254,0.003144895483539372,-0.0028317153393481154,1.285203553279343,-0.29437435835228165
BNYC,2015Q1,NYSE,13,8878,1779637,300588,1425746,0,772355,191388,108212,205632,113070,0.03293317028418806,0.0,0.0,,,0.0,,0.0,0.0,,1425746,0.0,0.0,0.0,0.0,46954.335799999986,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q1,NYSE,14,15548,3322543,756928,2447759,0,568066,461021,328167,644080,339061,0.01290886529270243,0.0,0.0,,,0.0,,0.0,0.0,,2447759,0.0,0.0,0.0,0.0,31597.791200000007,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
BNYC,2015Q1,NYSE,15,44433,9156804,2738616,5108330,0,270279,470345,483857,1479377,1511625,0.015604724479428699,0.0,0.0,,,0.0,,0.0,0.0,,5108330,0.0,0.0,0.0,0.0,79714.0822,0.0,0.0,0.0,0.0,Other,,0.0,0.0,0.0,,,,,0.0,0.0
