Broker,Exchange,OrderType,Quarter,Rebate,MarketCenter,MktShare,Rebate_Dummy,Obs_id
AXA,NASDAQ,Limit,2014Q1,0.0,CDRG,0.1997,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q1,0.0,FBCO,0.1205,0,AXA-FBCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q1,0.0,G1ES,0.0293,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q2,0.0,CDRG,0.1906,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q2,0.0,FBCO,0.1436,0,AXA-FBCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q2,0.0,G1ES,0.0653,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q3,0.0,CDRG,0.1613,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q3,0.0,FBCO,0.0588,0,AXA-FBCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q3,0.0,G1ES,0.2372,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q3,0.0,UBSS,0.09300000000000001,0,AXA-UBSS-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q4,0.0,CDRG,0.1575,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q4,0.0,FBCO,0.1172,0,AXA-FBCO-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q4,0.0,G1ES,0.1905,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2014Q4,0.0,UBSS,0.044000000000000004,0,AXA-UBSS-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q1,0.0,CDRG,0.0998,0,AXA-CDRG-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q1,0.0,G1ES,0.2524,0,AXA-G1ES-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q1,0.0,UBSS,0.0607,0,AXA-UBSS-NASDAQ-Limit
AXA,NASDAQ,Limit,2015Q2,0.0,CDRG,0.2035,0,AXA-CDRG-NASDAQ-Limit
