MarketCenter,Quarter,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType,PrImp_ExpAmt,All_AvgT,MktCtrAvg_PrImp_Pct,Rel_PrImp_Pct,MktCtrAvg_PrImp_AvgT,Rel_PrImp_AvgT,MktCtrAvg_PrImp_ExpAmt,Rel_PrImp_ExpAmt,MktCtrAvg_All_AvgT,Rel_All_AvgT,Broker,Rebate,MktShare,Rebate_Dummy,Broker_Size
BNYC,2015 Q1,NASDAQ,11,213581,43704397,70249,43628268,0,43526470,92540,7485,1773,0,0.01927514185069184,0.023773723297931523,40953679.0,0.0060779911201628576,0.19763402452805298,1679347.0,0.586190048870186,995242.0,25.235099999999996,1.4215880157790766,43628268,8093840.400000008,248916.09730000008,984416.5000000002,1414824.0999999996,840941.0543999996,1037206.3714000003,0.9386959619850139,0.03849217667774481,0.02281186133724126,Market,0.005705385721477646,0.2405110603978138,0.8770853693237933,0.0616105926612206,0.08256116815727825,0.11507285637077473,0.011198484958282361,-0.005493099236804715,0.10554951162066092,0.13496154877715288,Insigneo Securities,0.0,0.7766,0,
BNYC,2015 Q1,NASDAQ,12,37042,7770176,4851,7750829,0,7713717,19629,6873,5710,3237,0.030849942825470697,0.034385883342285074,6796140.0,0.0006734046679438616,0.3292600358438762,796648.0,15.6227130426487,158041.0,7.631500000000001,9.821650078144279,7750829,2237697.3000000007,4576.552399999996,12445803.100000001,1552223.4,239112.63150000022,266519.10180000006,0.8768274980650457,0.1027822959324738,0.02039020600248051,Limit,0.000590459730178539,2.094708037037071,0.6613439695337225,0.21548352853132313,0.18814257065505252,0.14111746518882368,0.00510759334387346,-0.004517133613694921,1.5660536210546072,0.5286544159824638,Insigneo Securities,0.0,0.6279,0,
BNYC,2015 Q1,NYSE,11,396811,81015802,108105,80902077,0,80833088,59791,6902,2296,0,0.009666910261154352,0.013256767076573334,76975499.0,0.004884009097492177,0.14289074111750802,1914843.0,0.528379454608028,2011735.0,22.514999999999972,0.8266675282778299,80902077,10999086.099999998,375949.0374,1011763.7000000002,1663036.0,782073.1182999995,1072499.9908000007,0.9514650532396096,0.02366865068247877,0.024866296077911573,Market,0.0046469639759681314,0.16901773485988494,0.8955106064460242,0.05595444679358541,0.07284134850471778,0.07004939261279024,0.00694938293200581,-0.0023024189560376784,0.0942007552268552,0.07481697963302975,Insigneo Securities,0.0,0.7379,0,
BNYC,2015 Q1,NYSE,12,45238,9529134,5233,9506679,0,9478187,13717,4147,7453,2100,0.01952713701598636,0.02163342021961614,8506985.0,0.0003499833489773396,0.10581187106830443,887904.0,4.632459928100336,111790.0,6.290400000000002,39.41475445030862,9506679,900139.9999999998,2977.3030999999933,4113179.7000000007,4406175.4,185638.22340000022,205661.98170000018,0.894842983548724,0.09339791529723471,0.011759101154041279,Limit,0.00031318014419125684,0.9908291949270615,0.6539925261190169,0.24085045742970712,0.08970734184895618,0.016104529219348254,0.003144895483539372,-0.0028317153393481154,1.285203553279343,-0.29437435835228165,Insigneo Securities,0.0,0.5228,0,
BNYC,2015 Q1,Other,11,257920,55831472,108233,55715793,0,55640416,65042,8450,1885,0,0.014391121879930881,0.016029036092154336,53509648.0,0.005245347549286815,0.19892722897373566,1512486.0,0.918261259938935,693659.0,13.041699999999985,1.346896385688068,55715793,10644525.999999996,280676.7010000001,1388857.3,934286.7999999996,801812.7676999999,893070.4569,0.9604035968760241,0.027146450199497296,0.012449952924478702,Market,0.005037650653199895,0.23274675638198303,0.8938532763541701,0.06655032052185395,0.22208075979715375,-0.02315353082341809,0.008315384543393516,-0.0032777338901936216,0.33165518128094623,-0.0989084248989632,Insigneo Securities,0.0,0.7026,0,
BNYC,2015 Q1,Other,12,31773,6700795,4440,6682095,0,6652622,18963,4550,3922,1838,0.01994765638620821,0.02490296332213176,5464345.0,0.00043197618378780945,0.16195168862873777,1124576.0,2.2148594670346866,93174.0,4.219300000000002,8.437991285122461,6682095,884959.9000000001,2360.4668999999976,2490777.8,786201.4000000001,133292.13499999995,166403.96670000002,0.8177592506541735,0.16829691885553857,0.013943830490287851,Limit,0.0003532525203547686,0.6228494356934465,0.6395087424954722,0.17825050815870136,0.11823294352981081,0.04371874509892695,0.0026136704287217974,-0.002260417908367029,1.222009931347206,-0.5991604956537594,Insigneo Securities,0.0,0.7056,0,
BNYC,2015 Q2,NASDAQ,11,182798,37375992,112287,37259229,0,37191775,60545,5855,1054,0,0.01975807029447657,0.025222793568809493,34107740.0,0.006033895458919292,0.22657645156202075,2275280.0,0.6790735645722726,876209.0,27.072000000000028,1.1680058068337582,37259229,7728010.699999997,205802.53749999992,1545082.5000000005,1023417.2000000004,736170.4657,939781.8416000002,0.915417224548581,0.061066212615403286,0.023516562836015744,Market,0.005523531834220185,0.27634791906187856,0.8869868706293366,0.028430353919244422,0.12453860092732068,0.10203785063470007,0.011885809759852914,-0.006362277925632729,0.13645873445862963,0.13988918460324892,Insigneo Securities,0.0,0.8002,0,
BNYC,2015 Q2,NASDAQ,12,29875,6456260,10936,6430013,0,6403208,10736,5506,5251,4254,0.025043264811439696,0.03477976626174785,5451150.0,0.0008636407730478873,0.4643781587371474,836277.0,8.95053421294619,142586.0,8.0422,6.694011333511005,6430013,2531395.000000001,4707.835399999991,7485125.900000001,954472.3000000002,161028.5182999998,223634.34920000006,0.8477665597254624,0.13005836846675115,0.02217507180778639,Limit,0.0007321657670054463,1.7062163326885968,0.6108136423016213,0.23695291742384117,0.5084136318300245,-0.04403547309287714,0.0043005926734325725,-0.0035684269064271265,1.2163284226954652,0.4898879099931317,Insigneo Securities,0.0,0.7231,0,
BNYC,2015 Q2,NYSE,11,319748,65791725,70489,65713305,0,65635191,65916,5633,6108,457,0.011020059195013858,0.012403939629881662,61721213.0,0.005002608571545732,0.19134380589701003,2768642.0,0.679804792385581,1223450.0,31.951100000000007,1.5310051085046386,65713305,11809971.800000012,308767.06919999985,1882136.0999999999,1873108.2,724164.5110000002,815103.8681000008,0.9392498672833455,0.04213213747200814,0.018617995244646423,Market,0.004698699436894855,0.23686551909084486,0.8987581199098678,0.040491747373477716,0.16960614044188924,0.02173766545512079,0.006718416786786599,-0.002019717349891744,0.30232306491242217,-0.06545754582157731,Insigneo Securities,0.0,0.8079999999999999,0,
BNYC,2015 Q2,NYSE,12,37618,8105118,5839,8087294,0,8058976,12966,3644,7853,3330,0.018825930713041977,0.021890089985599638,6951462.0,0.0005203127485987829,0.17579071855675824,1011799.0,6.015314207663775,124033.0,5.510000000000003,18.63358299807309,8087294,1222002.4999999998,3616.934299999992,6086288.9,2311179.1999999997,152250.8365000001,177031.59340000004,0.8595535169118372,0.1251097091313856,0.015336773956777136,Limit,0.00044723665295214846,1.1894547916769194,0.6078493365606131,0.2517041803512241,0.9738943726019283,-0.7981036540451701,0.004133306368207975,-0.003686069715255827,1.2272992023234186,-0.03784441064649924,Insigneo Securities,0.0,0.5211,0,
