MarketCenter,idate,Exchange,OrderCode,CoveredOrders,CoveredShares,CancelledShares,MktCtrExecShares,AwayExecShares,ExecShares_0_9,ExecShares_10_29,ExecShares_30_59,ExecShares_60_299,ExecShares_5_30,AvgRealSpread,AvgEffecSpread,PrImpShares,PrImp_AvgAmt,PrImp_AvgT,ATQShares,ATQ_AvgT,OTQShares,OTQ_AvgAmt,OTQ_AvgT,ExecShares,PrImp_TotalT,PrImp_TotalAmt,ATQ_TotalT,OTQ_TotalT,AvgRealSpread_T,AvgEffecSpread_T,PrImp_Pct,ATQ_Pct,OTQ_Pct,OrderType
BNYC,201501,NASDAQ,11,69050,14100114,21120,14076927,0,14033049,39172,3533,1173,0,0.021769924543900768,0.024588948305265763,13131073.0,0.006220033595122046,0.21051403796171106,594188.0,0.5772740277487934,351666.0,8.805299999999994,1.5244737904716403,14076927,2764275.1999999993,81675.71520000004,343009.3000000001,536105.6,306453.6385999994,346136.83029999986,0.932808204517932,0.042210064739271566,0.02498173074279635,Market
BNYC,201501,NASDAQ,12,11767,2468498,953,2464102,0,2450078,6963,3062,3032,517,0.03825505315932543,0.03513311908354443,2165767.0,0.0008007611622118168,0.7378257679611893,239990.0,10.288156173173883,58345.0,2.634100000000001,3.7681977890136262,2464102,1597958.700000001,1734.2620999999995,2469054.6,219855.5000000001,94264.3530000001,86571.589,0.8789274956962009,0.09739450720789967,0.02367799709589944,Limit
BNYC,201501,NASDAQ,13,3791,764376,140929,597709,0,323989,76411,49381,88102,44300,0.04967231311557969,0.0,0.0,,,0.0,,0.0,0.0,,597709,0.0,0.0,0.0,0.0,29689.58860000002,0.0,0.0,0.0,0.0,Other
BNYC,201501,NASDAQ,14,3568,763193,181719,555287,0,182551,100840,57987,115721,71120,0.014846819392494338,0.0,0.0,,,0.0,,0.0,0.0,,555287,0.0,0.0,0.0,0.0,8244.245800000002,0.0,0.0,0.0,0.0,Other
BNYC,201501,NASDAQ,15,11193,2347163,789232,1307881,0,152205,179851,152161,365817,290093,0.016627374967600247,0.0,0.0,,,0.0,,0.0,0.0,,1307881,0.0,0.0,0.0,0.0,21746.62779999998,0.0,0.0,0.0,0.0,Other
BNYC,201501,NYSE,11,133625,27197651,38824,27155475,0,27132247,20656,2214,358,0,0.009990602256082785,0.01428351499651546,25826805.0,0.004734271598829204,0.14086385056146128,690319.0,0.5506864217847115,638351.0,6.956699999999988,0.8358754039705429,27155475,3638063.200000001,122271.10940000007,380149.3000000002,533581.9,271299.54979999963,387875.6344000007,0.9510717452005536,0.025420987848675084,0.02350726695077144,Market
BNYC,201501,NYSE,12,15176,3165827,654,3158244,0,3150975,3297,1788,1884,300,0.022748698358961556,0.02149764565372406,2842007.0,0.00040014042892927366,0.09113981774147634,281789.0,3.1135416925430026,34448.0,2.2202,2.757080236878774,3158244,259019.99999999997,1137.2018999999984,877361.8000000002,94975.9,71845.94010000018,67894.81040000009,0.8998693577823627,0.08922331523466838,0.010907326982969015,Limit
BNYC,201501,NYSE,13,2835,561746,91942,450875,0,251410,57128,34446,66040,31473,0.0346822294427502,0.0,0.0,,,0.0,,0.0,0.0,,450875,0.0,0.0,0.0,0.0,15637.350199999995,0.0,0.0,0.0,0.0,Other
BNYC,201501,NYSE,14,5011,1077263,239663,799259,0,206761,162158,102349,194404,100968,0.013010633849603187,0.0,0.0,,,0.0,,0.0,0.0,,799259,0.0,0.0,0.0,0.0,10398.866199999997,0.0,0.0,0.0,0.0,Other
BNYC,201501,NYSE,15,15208,3130166,936645,1781334,0,108433,179896,172611,528830,504692,0.016728810879936048,0.0,0.0,,,0.0,,0.0,0.0,,1781334,0.0,0.0,0.0,0.0,29799.5996,0.0,0.0,0.0,0.0,Other
BNYC,201501,Other,11,85875,18616905,33488,18580600,0,18550916,24408,3811,1465,0,0.016638163019493453,0.01688770157045521,17774108.0,0.005202143691261466,0.1936450031697793,539603.0,1.1364143638934552,266889.0,4.4176999999999955,1.3112080303047329,18580600,3441867.2,92463.46379999995,613212.6,349946.9999999998,309147.05180000013,313783.62780000013,0.9565949431127091,0.029041204266815925,0.014363852620475119,Market
BNYC,201501,Other,12,10988,2273908,1125,2268583,0,2259916,5037,1890,692,1048,0.021374702446416982,0.025358181957636117,1825397.0,0.0005261830714085753,0.14690596073073425,401827.0,1.721434846339345,41359.0,1.5184000000000009,7.63203897579729,2268583,268161.7000000001,960.4929999999989,691719.0,315653.5000000001,48490.28659999997,57527.14050000001,0.804641928463715,0.17712686729998414,0.01823120423630081,Limit
BNYC,201501,Other,13,2231,486022,91060,367737,0,192985,42353,22578,57641,34130,0.04568054587925607,0.0,0.0,,,0.0,,0.0,0.0,,367737,0.0,0.0,0.0,0.0,16798.426899999988,0.0,0.0,0.0,0.0,Other
